19840101 	43 	New 	JOE FAGIN 	THAT'S LIVIN' ALRIGHT (FROM 'AUF WIEDERSEHEN PET') 	TOWERBELL 	43 	1 	7501-19840107 	4002-11078-TOW46-SINGLE 	
19840101 	44 	63 	KEITH HARRIS AND ORVILLE 	COME TO MY PARTY 	BBC 	44 	3 	7501-19840107 	3683-11067-RESL138-SINGLE 	
19840101 	45 	48 	FRIDA AND BA ROBERTSON 	TIME 	EPIC 	45 	4 	7501-19840107 	3995-11052-A3983-SINGLE 	
19840101 	46 	43 	EARTHA KITT 	WHERE IS MY MAN 	RECORD SHACK 	43 	7 	7501-19840107 	1085-11003-SOHO11-SINGLE 	
19840101 	47 	39 	SANTA CLAUS AND THE CHRISTMAS TREES 	SINGALONG-A-SANTA AGAIN 	POLYDOR 	39 	6 	7501-19840107 	3681-11023-IVY2-SINGLE 	
19840101 	48 	40 	AZTEC CAMERA 	OBLIVIOUS {1983 RE-RELEASE} 	WEA 	18 	10 	7501-19840107 	3715-10928-AZTEC1-SINGLE 	
19840101 	49 	38 	OZZY OSBOURNE 	BARK AT THE MOON 	EPIC 	21 	7 	7501-19840107 	3696-10989-A3915-SINGLE 	
19840101 	50 	45 	THE KLAXONS 	THE CLAP CLAP SOUND 	PRT 	45 	6 	7501-19840107 	11230-11021-7P290-SINGLE 	
19840101 	51 	44 	THE SMITHS 	THIS CHARMING MAN 	ROUGH TRADE 	25 	9 	7501-19840107 	3970-10946-RT136-SINGLE 	
19840101 	52 	64 	ICICLE WORKS 	LOVE IS A WONDERFUL COLOUR 	BEGGARS BANQUET 	52 	5 	7501-19840107 	3858-11046-BEG99-SINGLE 	
19840101 	53 	50 	MADNESS 	THE SUN AND THE RAIN 	STIFF 	5 	10 	7501-19840107 	710-10920-BUY192-SINGLE 	
19840101 	54 	55 	MALCOLM McLAREN 	DUCK FOR THE OYSTER 	CHARISMA 	54 	4 	7501-19840107 	3738-11053-MALC4-SINGLE 	
19840101 	55 	54 	THE CURE 	THE LOVE CATS 	FICTION 	7 	11 	7501-19840107 	382-10900-FICS19-SINGLE 	
19840101 	56 	72 	GLORIA GAYNOR 	I AM WHAT I AM 	CHRYSALIS 	56 	4 	7501-19840107 	2529-11060-CHS2765-SINGLE 	
19840101 	57 	New 	SHAKY AND BONNIE 	A ROCKIN' GOOD WAY 	EPIC 	57 	1 	7501-19840107 	4005-11079-A4071-SINGLE 	
19840101 	58 	52 	BLANCMANGE 	THAT'S LOVE, THAT IT IS 	LONDON 	33 	7 	7501-19840107 	3586-10991-BLANC6-SINGLE 	
19840101 	59 	67 	KEN BARRIE 	POSTMAN PAT 	POST MUSIC 	44 	17 	7501-19840107 	3620-9846-PP001-SINGLE 	
19840101 	60 	53 	ADAM ANT 	STRIP 	CBS 	41 	5 	7501-19840107 	3601-11037-A3589-SINGLE 	
19840101 	61 	61 	CHAS AND DAVE 	MY MELANCHOLY BABY 	ROCKNEY 	51 	8 	7501-19840107 	3031-10981-KOR21-SINGLE 	
19840101 	62 	71 	BUCKS FIZZ 	RULES OF THE GAME 	RCA 	62 	7 	7501-19840107 	3429-11002-380-SINGLE 	
19840101 	63 	57 	GEORGE BENSON 	INSIDE LOVE 	WARNER BROTHERS 	57 	7 	7501-19840107 	2621-11001-W9427-SINGLE 	
19840101 	64 	62 	THE JETS 	ROCKIN' AROUND THE CHRISTMAS TREE 	PRT 	62 	4 	7501-19840107 	3492-11054-7P297-SINGLE 	
19840101 	65 	Re 	NEW ORDER 	BLUE MONDAY 	FACTORY 	9 	39 	7501-19840107 	543-10312-FAC73-SINGLE 	
19840101 	66 	75 	DURAN DURAN 	UNION OF THE SNAKE 	EMI 	3 	10 	7501-19840107 	352-10898-5429-SINGLE 	
19840101 	67 	68 	ADAM ANT 	PUSS 'N BOOTS 	CBS 	5 	11 	7501-19840107 	3601-10899-A3614-SINGLE 	
19840101 	68 	60 	THE ROLLING STONES 	UNDERCOVER OF THE NIGHT 	ROLLING STONES 	11 	9 	7501-19840107 	730-10942-RSR113-SINGLE 	
19840101 	69 	49 	YES 	OWNER OF A LONELY HEART 	ATCO 	28 	10 	7501-19840107 	2835-10934-B9817-SINGLE 	
19840101 	70 	59 	DAVID ESSEX 	YOU'RE IN MY HEART 	MERCURY 	59 	7 	7501-19840107 	887-10999-ESSEX2-SINGLE 	
19840101 	71 	58 	OLYMPIC ORCHESTRA 	REILLY 	RED BUS 	26 	16 	7501-19840107 	3925-10819-RBUS82-SINGLE 	
19840101 	72 	79 	NATALIE CASEY 	CHIC CHIC CHIC CHICKEN 	POLYDOR 	72 	3 	7501-19840107 	4003-11070-CHICK1-SINGLE 	
19840101 	73 	56 	THE STYLE COUNCIL 	A SOLID BOND IN YOUR HEART 	POLYDOR 	11 	8 	7501-19840107 	3758-10967-TSC4-SINGLE 	
19840101 	74 	80 	ANN BREEN 	PAL OF MY CRADLE DAYS 	HOMESPUN 	69 	16 	7501-19840107 	3729-10255-HS052-SINGLE 	
19840101 	75 	Re 	LIMAHL 	ONLY FOR LOVE 	EMI 	16 	8 	7501-19840107 	3960-10924-LML1-SINGLE 	
19840101 	76 	73 	GRANDMIXER 	CRAZY CUTS 	ISLAND 	73 	4 	7501-19840107 	3996-11055-IS146-SINGLE 	
19840101 	77 	85 	HOWARD JONES 	NEW SONG 	WEA 	3 	17 	7501-19840107 	3911-10763-HOW1-SINGLE 	
19840101 	78 	65 	GREG LAKE 	I BELIEVE IN FATHER CHRISTMAS 	MANTICORE 	2 	14 	7501-19840107 	2634-6706-K13511-SINGLE 	
19840101 	79 	Re 	MEN WITHOUT HATS 	THE SAFETY DANCE 	STATIK 	6 	16 	7501-19840107 	3905-10744-TAK1-SINGLE 	
19840101 	80 	66 	ROSE MARIE 	WHEN I LEAVE THE WORLD BEHIND 	A1 	63 	9 	7501-19840107 	3966-10938-284-SINGLE 	
19840101 	81 	69 	NICK HEYWARD 	ON A SUNDAY 	ARISTA 	52 	6 	7501-19840107 	3759-11017-HEY4-SINGLE 	
