19840108 	50 	New 	CYNDI LAUPER 	GIRLS JUST WANT TO HAVE FUN 	PORTRAIT 	50 	1 	7501-19840114 	4008-11086-A3943-SINGLE 	
19840108 	53 	New 	MADONNA 	HOLIDAY 	SIRE 	53 	1 	7501-19840114 	799-11087-W9405-SINGLE 	
19840108 	55 	New 	MUSICAL YOUTH 	SIXTEEN 	MCA 	55 	1 	7501-19840114 	3653-11088-YOU7-SINGLE 	
19840108 	56 	New 	FICTION FACTORY 	(FEELS LIKE) HEAVEN 	CBS 	56 	1 	7501-19840114 	4009-11089-A3996-SINGLE 	
19840108 	57 	62 	BUCKS FIZZ 	RULES OF THE GAME 	RCA 	57 	8 	7501-19840114 	3429-11002-380-SINGLE 	
19840108 	59 	63 	GEORGE BENSON 	INSIDE LOVE 	WARNER BROTHERS 	57 	8 	7501-19840114 	2621-11001-W9427-SINGLE 	
19840108 	61 	New 	MIKE OLDFIELD 	CRIME OF PASSION 	VIRGIN 	61 	1 	7501-19840114 	899-11090-VS648-SINGLE 	
19840108 	62 	44 	KEITH HARRIS AND ORVILLE 	COME TO MY PARTY 	BBC 	44 	4 	7501-19840114 	3683-11067-RESL138-SINGLE 	
19840108 	64 	54 	MALCOLM McLAREN 	DUCK FOR THE OYSTER 	CHARISMA 	54 	5 	7501-19840114 	3738-11053-MALC4-SINGLE 	
19840108 	65 	50 	THE KLAXONS 	THE CLAP CLAP SOUND 	PRT 	45 	7 	7501-19840114 	11230-11021-7P290-SINGLE 	
19840108 	66 	82 	ELBOW BONES AND THE RACKETEERS 	A NIGHT IN NEW YORK 	EMI AMERICA 	66 	5 	7501-19840114 	4000-11062-EA165-SINGLE 	
19840108 	67 	New 	TALK TALK 	IT'S MY LIFE 	EMI 	67 	1 	7501-19840114 	3590-11091-5443-SINGLE 	
19840108 	68 	93 	BILLY GRIFFIN 	SERIOUS 	CBS 	68 	4 	7501-19840114 	3691-11071-A4053-SINGLE 	
19840108 	69 	59 	KEN BARRIE 	POSTMAN PAT 	POST MUSIC 	44 	18 	7501-19840114 	3620-9846-PP001-SINGLE 	
19840108 	70 	New 	MIRAGE 	GIVE ME THE NIGHT 	PASSION 	70 	1 	7501-19840114 	4010-11092-PASH15-SINGLE 	
19840108 	71 	76 	GRANDMIXER 	CRAZY CUTS 	ISLAND 	71 	5 	7501-19840114 	3996-11055-IS146-SINGLE 	
19840108 	74 	60 	ADAM ANT 	STRIP 	CBS 	41 	6 	7501-19840114 	3601-11037-A3589-SINGLE 	
19840108 	76 	New 	BARBARA MASON 	ANOTHER MAN 	STREETWAVE 	76 	1 	7501-19840114 	4011-11093-KHAN3-SINGLE 	
19840108 	77 	New 	PAT BENATAR 	LOVE IS A BATTLEFIELD 	CHRYSALIS 	77 	1 	7501-19840114 	3724-11094-CHS2747-SINGLE 	
19840108 	79 	New 	MATTHEW WILDER 	BREAK MY STRIDE 	EPIC 	79 	1 	7501-19840114 	4012-11095-A3908-SINGLE 	
19840108 	82 	85 	DAYTON 	THE SOUND OF MUSIC 	CAPITOL 	75 	6 	7501-19840114 	3991-11042-CL318-SINGLE 	
19840108 	84 	84 	DIVINE 	SHAKE IT UP 	NO-LABEL 	82 	5 	7501-19840114 	3934-11059-MIUCT2018-SINGLE 	
19840108 	86 	New 	COMSAT ANGELS 	INDEPENDENCE DAY 	JIVE 	86 	1 	7501-19840114 	3902-11096-54-SINGLE 	
19840108 	88 	74 	ANN BREEN 	PAL OF MY CRADLE DAYS 	HOMESPUN 	69 	17 	7501-19840114 	3729-10255-HS052-SINGLE 	
19840108 	89 	New 	FAD GADGET 	COLLAPSING NEW PEOPLE 	NO-LABEL 	89 	1 	7501-19840114 	4013-11097-MIUCT0388-SINGLE 	
19840108 	90 	97 	INTAFERON 	STEAMHAMMER SAM 	NO-LABEL 	77 	8 	7501-19840114 	3940-11007-MIUCT2174-SINGLE 	
19840108 	91 	81 	NICK HEYWARD 	ON A SUNDAY 	ARISTA 	52 	7 	7501-19840114 	3759-11017-HEY4-SINGLE 	
19840108 	92 	80 	ROSE MARIE 	WHEN I LEAVE THE WORLD BEHIND 	A1 	63 	10 	7501-19840114 	3966-10938-284-SINGLE 	
19840108 	93 	Re 	GRANDMASTER FLASH AND MELLE MEL 	WHITE LINES (DON'T DO IT) 	SUGARHILL 	60 	5 	7501-19840114 	3975-10957-SHL130-SINGLE 	
19840108 	96 	Re 	SHANNON 	LET THE MUSIC PLAY 	CLUB 	51 	4 	7501-19840114 	3978-10972-LET1-SINGLE 	
19840108 	97 	Re 	THIS MORTAL COIL 	SONG TO THE SIREN 	4AD 	66 	6 	7501-19840114 	3950-10882-AD310-SINGLE 	
19840108 	98 	96 	NIK KERSHAW 	I WON'T LET THE SUN GO DOWN ON ME 	MCA 	47 	8 	7501-19840114 	3974-10954-816-SINGLE 	
19840108 	99 	New 	KATRINA AND THE WAVES 	QUE TE QUEIRO 	NO-LABEL 	99 	1 	7501-19840114 	4014-11098-MIUCT1841-SINGLE 	
19840108 	100 	New 	WANG CHUNG 	DANCE HALL DAYS 	GEFFEN 	100 	1 	7501-19840114 	3870-11099-A3837-SINGLE 	
19840115 	41 	48 	MEAT LOAF 	RAZOR'S EDGE {1984} 	EPIC 	41 	3 	7501-19840121 	385-11085-A4080-SINGLE 	
19840115 	43 	New 	JUDAS PRIEST 	FREEWHEEL BURNING 	CBS 	43 	1 	7501-19840121 	530-11104-A4054-SINGLE 	
19840115 	44 	New 	ABC 	SOS 	NEUTRON 	44 	1 	7501-19840121 	3528-11105-NT106-SINGLE 	
19840115 	45 	New 	THOMAS DOLBY 	HYPERACTIVE! 	PARLOPHONE ODEON 	45 	1 	7501-19840121 	3510-11106-R6065-SINGLE 	
19840115 	47 	66 	ELBOW BONES AND THE RACKETEERS 	A NIGHT IN NEW YORK 	EMI AMERICA 	47 	6 	7501-19840121 	4000-11062-EA165-SINGLE 	
19840115 	49 	67 	TALK TALK 	IT'S MY LIFE 	EMI 	49 	2 	7501-19840121 	3590-11091-5443-SINGLE 	
19840115 	51 	70 	MIRAGE 	GIVE ME THE NIGHT 	PASSION 	51 	2 	7501-19840121 	4010-11092-PASH15-SINGLE 	
19840115 	53 	New 	THE COLOUR FIELD 	THE COLOUR FIELD 	CHRYSALIS 	53 	1 	7501-19840121 	4015-11107-COLF1-SINGLE 	
19840115 	59 	77 	PAT BENATAR 	LOVE IS A BATTLEFIELD 	CHRYSALIS 	59 	2 	7501-19840121 	3724-11094-CHS2747-SINGLE 	
19840115 	60 	New 	SPEAR OF DESTINY 	PRISONER OF LOVE 	EPIC 	60 	1 	7501-19840121 	3754-11108-A4068-SINGLE 	
19840115 	60 	New 	TALKING HEADS 	THIS MUST BE THE PLACE 	SIRE 	60 	1 	7501-19840121 	3405-11109-W9451-SINGLE 	
19840115 	62 	New 	DONNA SUMMER 	STOP LOOK AND LISTEN 	MERCURY 	62 	1 	7501-19840121 	286-11110-DONNA3-SINGLE 	
19840115 	63 	76 	BARBARA MASON 	ANOTHER MAN 	STREETWAVE 	63 	2 	7501-19840121 	4011-11093-KHAN3-SINGLE 	
19840115 	64 	68 	BILLY GRIFFIN 	SERIOUS 	CBS 	64 	5 	7501-19840121 	3691-11071-A4053-SINGLE 	
19840115 	66 	New 	HERBIE HANCOCK 	FUTURE SHOCK 	CBS 	66 	1 	7501-19840121 	2987-11111-A4075-SINGLE 	
19840115 	68 	New 	THE MANHATTAN TRANSFER 	SPICE OF LIFE 	ATLANTIC 	68 	1 	7501-19840121 	2653-11112-A9728-SINGLE 	
19840115 	69 	61 	MIKE OLDFIELD 	CRIME OF PASSION 	VIRGIN 	61 	2 	7501-19840121 	899-11090-VS648-SINGLE 	
